#SampleID	BarcodeSequence	LinkerPrimerSequence	Core	PlotName	DepthBottom	MCDescriptor	Carbon	C13org	CODensity	CAPmp	CAPold	CAPyoung	DepthTop	DepthBottom	Descriptor	Modifier	Ndensity	N15	BulkDensity	Description
1			SJI	sjiI1	30	Peat	-25.9585563	-25.9585563	0.014099311	29	50	8	25	30	Peat	Muddy	0.000484095	4.863657097	0.067253727	LaPaz
2			SJI	sjiI2	50	Peat	-25.47102227	-25.47102227	0.007330731	29	50	8	45	50	Peat	Muddy	0.000313687	5.300460986	0.043174924	LaPaz
3			SJI	sjiI3	70	Peat	-24.35289836	-24.35289836	0.036637909	29	50	7	65	70	Peat	Muddy	0.001770692	4.990481354	0.181322434	LaPaz
4			SJI	sjiI4	90	Peat	-24.92724086	-24.92724086	0.030159254	32.5	58	7	85	90	Peat	Muddy	0.001580244	6.096453994	0.26326566	LaPaz
5			SJI	sjiI5	110	Sand	-24.81041423	-24.81041423	0.011435125	32.5	58	7	105	110	Sand	Muddy	0.000774637	7.356520077	0.747141416	LaPaz
6			SJII	sjiII1	10	Peat	-25.5107633	-25.15460623	0.026073709	36	67	5	5	10	Peat	Red	0.00088256	3.341931697	0.132393727	LaPaz
7			SJII	sjiII2	30	Peat	-25.15460623	-24.05543091	0.052115372	36	67	5	25	30	Peat	Red	0.001426587	3.103930741	0.20665768	LaPaz
8			SJII	sjiII3	50	Peat	-24.05543091	-22.071215	0.03304497	36	67	5	45	50	Peat	Red	0.001223907	3.623842324	0.17177891	LaPaz
9			SJII	sjiII4	70	Peat	-22.071215	-23.84922412	0.028764036	553.5	576	531	65	70	Peat	Red	0.000959484	4.254377256	0.164725592	LaPaz
10			SJII	sjiII5	90	Peat	-23.84922412	-24.78146754	0.029166395	553.5	576	531	85	90	Peat	Red	0.001014185	4.880679256	0.224603952	LaPaz
11			SJII	sjiII6	110	Peat	-24.78146754	-25.3896019	0.036978192	738	750	726	105	110	Peat	Red	0.00083083	4.949834547	0.186561394	LaPaz
12			SJII	sjiII7	130	Peat	-25.3896019	-24.59790545	0.046994688	738	750	726	125	130	Peat	Red	0.001045585	3.41051068	0.219439835	LaPaz
13			SJII	sjiII8	150	Peat	-24.59790545	-24.89813795	0.034901326	1503.5	1585	1422	145	150	Peat	Clayey	0.000970482	4.149870754	0.288199479	LaPaz
14			SJII	sjiII9	170	Peat	-24.89813795	-25.27877997	0.028306487	1503.5	1585	1422	165	170	Peat	Clayey	0.000780388	5.445745259	0.620292822	LaPaz
15			SJII	sjiII10	190	Peat	-25.27877997	-25.30129298	0.02197567	4186	4296	4076	185	190	Peat	Clayey	0.000655317	5.91454135	0.896544752	LaPaz
16			SGI	sgiI1	10	Sand	-25.30129298	-25.09967409	0.007261715	219.5	370	69	5	10	Sand	Muddy	0.000438761	6.297239445	0.572840548	LaPaz
17			SGI	sgiI2	30	Sand	-25.09967409	-19.12953872	0.006562322	219.5	370	69	25	30	Sand	Muddy	0.000376332	7.34528719	0.767648201	LaPaz
18			SGI	sgiI3	50	Peat	-19.12953872	-23.98534924	0.031041487	219.5	370	69	45	50	Peat	Peat	0.000877136	5.278141875	0.315181255	LaPaz
19			EMI	emiI1	10	Clay	-23.98534924	-26.88819526	0.007170146	35	63	7	5	10	Clay	Rooty	0.000450669	7.261983986	0.910694479	LaPaz
20			EMI	emiI2	30	Clay	-24.47781547	-25.11063381	0.00654866	35	63	7	25	30	Clay	Rooty	0.000517238	7.390759305	1.314901761	LaPaz
21			EMI	emiI3	50	Clay	-26.88819526	-26.77867039	0.003665139	34.5	61	8	45	50	Clay	Rooty	0.000271525	7.074553692	1.188901379	LaPaz
22			EMI	emiI4	70	Clay	-25.11063381	-31.53447378	0.004288125	5242.5	5364	5121	65	70	Clay	Rooty	0.000789078	7.12714118	1.124210434	LaPaz
23			EMI	emiI5	90	Peat	-26.77867039	-25.29425974	0.042437416	1874.5	1946	1803	85	90	Peat	Peat	0.000875931	5.241884687	0.566540189	LaPaz
24			EMI	emiI6	110	Peat	-31.53447378	-25.23870001	0.039108786	2058	2123	1993	105	110	Peat	Peat	0.000690382	4.830950794	0.43869143	LaPaz
25			EMI	emiI7	130	Peat	-25.29425974	-25.46048367	0.037495342	1730	1777	1683	125	130	Peat	Peat	0.0006845	5.340334733	0.590623528	LaPaz
26			EMI	emiI8	150	Peat	-25.23870001	-26.387193	0.048023914	3463	3513	3413	145	150	Peat	Peat	0.000648543	4.488252392	0.441342661	LaPaz
27			EMI	emiI9	170	Peat	-25.46048367	-25.65347066	0.036674867	3835.5	3902	3769	165	170	Peat	Peat	0.000615293	5.082951658	0.548952253	LaPaz
28			EMI	emiI10	190	Peat	-26.387193	-25.69926486	0.044310939	3969.5	4030	3909	185	190	Peat	Peat	0.000822395	5.366327223	0.406869853	LaPaz
